Trading Zone,Interval,ROPEX_DAM_H [Euro/MWh],Traded Volume [MWh],Traded Buy Volume [MWh],Traded Sell Volume [MWh]
Romania,1,78.48,2327.0,938.2,2327.0
Romania,2,75.2,2285.0,781.5,2285.0
Romania,3,73.18,2369.4,767.0,2369.4
Romania,4,73.26,2409.9,825.5,2409.9
Romania,5,75.4,2373.3,830.4,2373.3
Romania,6,82.71,2419.7,1106.8,2419.7
Romania,7,113.01,2283.8,779.5,2283.8
Romania,8,121.66,2138.1,991.0,2138.1
Romania,9,125.04,1971.0,1281.6,1971.0
Romania,10,116.02,2008.4,1207.1,2008.4
Romania,11,102.19,1990.0,1302.7,1990.0
Romania,12,98.71,1990.3,1280.2,1990.3
Romania,13,95.46,1960.1,1253.9,1960.1
Romania,14,88.97,1922.3,1274.8,1922.3
Romania,15,88.95,1796.1,1279.4,1796.1
Romania,16,93.95,1877.5,1141.5,1877.5
Romania,17,102.19,1813.3,1226.6,1813.3
Romania,18,112.37,1868.3,1109.9,1868.3
Romania,19,123.6,1885.1,1215.6,1885.1
Romania,20,132.44,1910.0,1291.7,1910.0
Romania,21,119.61,1895.6,1142.8,1895.6
Romania,22,106.21,1808.6,1050.6,1808.6
Romania,23,96.9,1840.4,1013.2,1840.4
Romania,24,89.9,1888.7,928.6,1888.7
